"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-01-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Charged",3883.6,1407.0186,1490.0186,3622.24258
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-02-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Charged",0,2180.87883,2180.87883,477.01268
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-05-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Charged",0,25,25,20
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-01-08-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","High Courts","Establishment","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Charged",0,40,40,30
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-03-00-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","High Courts","Establishment","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Charged",14.92,45,45,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-07-01-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Publication$Printing of Periodicals/Newspapers","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$প্ৰকাশন$সাময়িক পত্ৰিকা /বাতৰি কাকতৰ মুদ্ৰণ","Administration of Justice","NULL","High Courts","Establishment","NULL","Publication","Printing of Periodicals/Newspapers","Establishmet Expenditure","General Area","Charged",1.12,3,3,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-01-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Charged",263.98,231.6,231.6,624
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-02-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Charged",0,358.98,358.98,149.76
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-05-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Charged",0,48.5,48.5,40
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-01-08-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","High Courts","Judges","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Charged",0,50,50,50
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-03-00-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","High Courts","Judges","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Charged",16.23,60,60,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-11-99-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Hospitality Expenses / Sumptuary Allowances etc$Others","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ আতিথ্য ব্যয় / ব্যয় নিয়ন্ত্ৰক ভাট্টা$অন্যান্য","Administration of Justice","NULL","High Courts","Judges","NULL","Hospitality Expenses / Sumptuary Allowances etc","Others","Establishmet Expenditure","General Area","Charged",12.85,25,25,20
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-01-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",6814.74,3859.20888,3859.20888,8519.9052
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-02-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,5788.81332,5788.81332,2700
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-99-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Others","Establishmet Expenditure","General Area","Voted",0,25,25,25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-05-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,50,50,50
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-08-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,55,55,55
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-12-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,10
